pop_size,generations,method,grid_size,rows,cols,n_points,delivery_multiplier,filepath
150,100,order,10x10,10,10,20,1,/home/ubuntu/resultados_extraidos/pop100/gen100/10x10/pop100_gen100_order_10x10_20_grafico.png
150,100,order,10x10,10,10,40,2,/home/ubuntu/resultados_extraidos/pop100/gen100/10x10/pop100_gen100_order_10x10_40_grafico.png
150,100,pmx,10x10,10,10,20,1,/home/ubuntu/resultados_extraidos/pop100/gen100/10x10/pop100_gen100_pmx_10x10_20_grafico.png
150,100,pmx,10x10,10,10,40,2,/home/ubuntu/resultados_extraidos/pop100/gen100/10x10/pop100_gen100_pmx_10x10_40_grafico.png
150,100,order,15x15,15,15,30,1,/home/ubuntu/resultados_extraidos/pop100/gen100/15x15/pop100_gen100_order_15x15_30_grafico.png
150,100,order,15x15,15,15,60,2,/home/ubuntu/resultados_extraidos/pop100/gen100/15x15/pop100_gen100_order_15x15_60_grafico.png
150,100,pmx,15x15,15,15,30,1,/home/ubuntu/resultados_extraidos/pop100/gen100/15x15/pop100_gen100_pmx_15x15_30_grafico.png
150,100,pmx,15x15,15,15,60,2,/home/ubuntu/resultados_extraidos/pop100/gen100/15x15/pop100_gen100_pmx_15x15_60_grafico.png
150,100,order,20x20,20,20,40,1,/home/ubuntu/resultados_extraidos/pop100/gen100/20x20/pop100_gen100_order_20x20_40_grafico.png
150,100,order,20x20,20,20,80,2,/home/ubuntu/resultados_extraidos/pop100/gen100/20x20/pop100_gen100_order_20x20_80_grafico.png
150,100,pmx,20x20,20,20,40,1,/home/ubuntu/resultados_extraidos/pop100/gen100/20x20/pop100_gen100_pmx_20x20_40_grafico.png
150,100,pmx,20x20,20,20,80,2,/home/ubuntu/resultados_extraidos/pop100/gen100/20x20/pop100_gen100_pmx_20x20_80_grafico.png
150,100,order,25x25,25,25,100,2,/home/ubuntu/resultados_extraidos/pop100/gen100/25x25/pop100_gen100_order_25x25_100_grafico.png
150,100,order,25x25,25,25,50,1,/home/ubuntu/resultados_extraidos/pop100/gen100/25x25/pop100_gen100_order_25x25_50_grafico.png
150,100,pmx,25x25,25,25,100,2,/home/ubuntu/resultados_extraidos/pop100/gen100/25x25/pop100_gen100_pmx_25x25_100_grafico.png
150,100,pmx,25x25,25,25,50,1,/home/ubuntu/resultados_extraidos/pop100/gen100/25x25/pop100_gen100_pmx_25x25_50_grafico.png
150,100,order,30x30,30,30,120,2,/home/ubuntu/resultados_extraidos/pop100/gen100/30x30/pop100_gen100_order_30x30_120_grafico.png
150,100,order,30x30,30,30,60,1,/home/ubuntu/resultados_extraidos/pop100/gen100/30x30/pop100_gen100_order_30x30_60_grafico.png
150,100,pmx,30x30,30,30,120,2,/home/ubuntu/resultados_extraidos/pop100/gen100/30x30/pop100_gen100_pmx_30x30_120_grafico.png